jogo,fase,data,time1,time2,gols1,gols2,quem_passa
1,Grupos,11/jun,México,África do Sul,,,
2,Grupos,11/jun,Coreia do Sul,República Tcheca,,,
3,Grupos,12/jun,Canadá,Bósnia e Herzegovina,,,
4,Grupos,12/jun,Estados Unidos,Paraguai,,,
5,Grupos,13/jun,Haiti,Escócia,,,
6,Grupos,13/jun,Austrália,Turquia,,,
7,Grupos,13/jun,Brasil,Marrocos,,,
8,Grupos,13/jun,Catar,Suíça,,,
9,Grupos,14/jun,Costa do Marfim,Equador,,,
10,Grupos,14/jun,Alemanha,Curaçao,,,
11,Grupos,14/jun,Holanda,Japão,,,
12,Grupos,14/jun,Suécia,Tunísia,,,
13,Grupos,15/jun,Arábia Saudita,Uruguai,,,
14,Grupos,15/jun,Espanha,Cabo Verde,,,
15,Grupos,15/jun,Irã,Nova Zelândia,,,
16,Grupos,15/jun,Bélgica,Egito,,,
17,Grupos,16/jun,França,Senegal,,,
18,Grupos,16/jun,Iraque,Noruega,,,
19,Grupos,16/jun,Argentina,Argélia,,,
20,Grupos,16/jun,Áustria,Jordânia,,,
21,Grupos,17/jun,Gana,Panamá,,,
22,Grupos,17/jun,Inglaterra,Croácia,,,
23,Grupos,17/jun,Portugal,Congo (RD),,,
24,Grupos,17/jun,Uzbequistão,Colômbia,,,
25,Grupos,18/jun,República Tcheca,África do Sul,,,
26,Grupos,18/jun,Suíça,Bósnia e Herzegovina,,,
27,Grupos,18/jun,Canadá,Catar,,,
28,Grupos,18/jun,México,Coreia do Sul,,,
29,Grupos,19/jun,Brasil,Haiti,,,
30,Grupos,19/jun,Escócia,Marrocos,,,
31,Grupos,19/jun,Turquia,Paraguai,,,
32,Grupos,19/jun,Estados Unidos,Austrália,,,
33,Grupos,20/jun,Alemanha,Costa do Marfim,,,
34,Grupos,20/jun,Equador,Curaçao,,,
35,Grupos,20/jun,Holanda,Suécia,,,
36,Grupos,20/jun,Tunísia,Japão,,,
37,Grupos,21/jun,Uruguai,Cabo Verde,,,
38,Grupos,21/jun,Espanha,Arábia Saudita,,,
39,Grupos,21/jun,Bélgica,Irã,,,
40,Grupos,21/jun,Nova Zelândia,Egito,,,
41,Grupos,22/jun,Noruega,Senegal,,,
42,Grupos,22/jun,França,Iraque,,,
43,Grupos,22/jun,Argentina,Áustria,,,
44,Grupos,22/jun,Jordânia,Argélia,,,
45,Grupos,23/jun,Inglaterra,Gana,,,
46,Grupos,23/jun,Panamá,Croácia,,,
47,Grupos,23/jun,Portugal,Uzbequistão,,,
48,Grupos,23/jun,Colômbia,Congo (RD),,,
49,Grupos,24/jun,Escócia,Brasil,,,
50,Grupos,24/jun,Marrocos,Haiti,,,
51,Grupos,24/jun,Suíça,Canadá,,,
52,Grupos,24/jun,Bósnia e Herzegovina,Catar,,,
53,Grupos,24/jun,República Tcheca,México,,,
54,Grupos,24/jun,África do Sul,Coreia do Sul,,,
55,Grupos,25/jun,Curaçao,Costa do Marfim,,,
56,Grupos,25/jun,Equador,Alemanha,,,
57,Grupos,25/jun,Japão,Suécia,,,
58,Grupos,25/jun,Tunísia,Holanda,,,
59,Grupos,25/jun,Turquia,Estados Unidos,,,
60,Grupos,25/jun,Paraguai,Austrália,,,
61,Grupos,26/jun,Noruega,França,,,
62,Grupos,26/jun,Senegal,Iraque,,,
63,Grupos,26/jun,Egito,Irã,,,
64,Grupos,26/jun,Nova Zelândia,Bélgica,,,
65,Grupos,26/jun,Cabo Verde,Arábia Saudita,,,
66,Grupos,26/jun,Uruguai,Espanha,,,
67,Grupos,27/jun,Panamá,Inglaterra,,,
68,Grupos,27/jun,Croácia,Gana,,,
69,Grupos,27/jun,Argélia,Áustria,,,
70,Grupos,27/jun,Jordânia,Argentina,,,
71,Grupos,27/jun,Colômbia,Portugal,,,
72,Grupos,27/jun,Congo (RD),Uzbequistão,,,
73,R32,28/jun,2A,2B,,,
74,R32,29/jun,1E,3(A/B/C/D/F),,,
75,R32,29/jun,1F,2C,,,
76,R32,29/jun,1C,2F,,,
77,R32,30/jun,1I,3(C/D/F/G/H),,,
78,R32,30/jun,2E,2I,,,
79,R32,30/jun,1A,3(C/E/F/H/I),,,
80,R32,01/jul,1L,3(E/H/I/J/K),,,
81,R32,01/jul,1D,3(B/E/F/I/J),,,
82,R32,01/jul,1G,3(A/E/H/I/J),,,
83,R32,02/jul,2K,2L,,,
84,R32,02/jul,1H,2J,,,
85,R32,02/jul,1B,3(E/F/G/I/J),,,
86,R32,03/jul,1J,2H,,,
87,R32,03/jul,1K,3(D/E/I/J/L),,,
88,R32,03/jul,2D,2G,,,
89,R16,04/jul,W74,W77,,,
90,R16,04/jul,W73,W75,,,
91,R16,05/jul,W76,W78,,,
92,R16,05/jul,W79,W80,,,
93,R16,06/jul,W83,W84,,,
94,R16,06/jul,W81,W82,,,
95,R16,07/jul,W86,W88,,,
96,R16,07/jul,W85,W87,,,
97,QF,09/jul,W89,W90,,,
98,QF,10/jul,W93,W94,,,
99,QF,11/jul,W91,W92,,,
100,QF,11/jul,W95,W96,,,
101,SF,14/jul,W97,W98,,,
102,SF,15/jul,W99,W100,,,
103,3P,18/jul,L101,L102,,,
104,F,19/jul,W101,W102,,,
